format,numChunks,framesPerChunk,service,serialization_ms,deserialization_ms,total_ms,message_size_bytes,ram_bytes,timestamp
JSON,100,100,AudioService,0,113,116,4843094,16937304,1772833371146
JSON,100,100,VideoService,19,46,69,4843094,39348848,1772833371146
JSON,100,100,MetadataService,17,39,61,4843094,24873880,1772833371146
JSON,100,100,AudioService,0,34,39,4843094,76324840,1772833371146
JSON,100,100,VideoService,19,35,58,4843094,26655600,1772833371146
JSON,100,100,MetadataService,15,35,52,4843094,52647744,1772833371146
JSON,100,100,AudioService,0,37,38,4843094,4843094,1772833371146
JSON,100,100,VideoService,16,37,56,4843094,60029664,1772833371146
JSON,100,100,MetadataService,17,34,52,4843094,39236088,1772833371146
JSON,100,100,AudioService,0,34,35,4843094,4843094,1772833371146
JSON,100,100,VideoService,14,35,51,4843094,46266528,1772833371147
JSON,100,100,MetadataService,14,35,50,4843094,60260512,1772833371147
JSON,100,100,AudioService,0,33,35,4843094,76348544,1772833371147
JSON,100,100,VideoService,17,33,51,4843094,30897048,1772833371147
JSON,100,100,MetadataService,14,38,52,4843094,45168080,1772833371147
JSON,100,100,AudioService,0,36,36,4843094,4843094,1772833371147
JSON,100,100,VideoService,14,35,50,4843094,59918520,1772833371147
JSON,100,100,MetadataService,13,35,50,4843094,45669488,1772833371147
JSON,100,100,AudioService,0,36,36,4843094,4843094,1772833371147
JSON,100,100,VideoService,14,36,51,4843094,52559808,1772833371147
JSON,100,100,MetadataService,14,35,50,4843094,60080512,1772833371147
JSON,100,100,AudioService,0,33,35,4843094,76360272,1772833371147
JSON,100,100,VideoService,17,33,51,4843094,30873592,1772833371147
JSON,100,100,MetadataService,14,36,50,4843094,45144848,1772833371147
JSON,100,100,AudioService,0,36,36,4843094,4843094,1772833371147
JSON,100,100,VideoService,14,35,50,4843094,59915576,1772833371147
JSON,100,100,MetadataService,13,36,50,4843094,45670592,1772833371147
JSON,100,100,AudioService,0,36,36,4843094,4843094,1772833371147
JSON,100,100,VideoService,14,35,50,4843094,52678736,1772833371147
JSON,100,100,MetadataService,14,35,50,4843094,60080656,1772833371147
JSON,100,200,AudioService,0,73,74,9693758,9693758,1772833374529
JSON,100,200,VideoService,32,70,104,9693758,49922160,1772833374529
JSON,100,200,MetadataService,31,70,104,9693758,148780632,1772833374529
JSON,100,200,AudioService,0,76,77,9693758,9693758,1772833374529
JSON,100,200,VideoService,32,72,105,9693758,49464880,1772833374529
JSON,100,200,MetadataService,30,72,105,9693758,148933360,1772833374529
JSON,100,200,AudioService,0,71,72,9693758,9693758,1772833374529
JSON,100,200,VideoService,31,70,103,9693758,49414328,1772833374529
JSON,100,200,MetadataService,29,70,102,9693758,148224584,1772833374529
JSON,100,200,AudioService,0,70,71,9693758,9693758,1772833374529
JSON,100,200,VideoService,32,70,104,9693758,49390640,1772833374529
JSON,100,200,MetadataService,30,71,103,9693758,148933752,1772833374529
JSON,100,200,AudioService,0,70,72,9693758,9693758,1772833374530
JSON,100,200,VideoService,31,70,103,9693758,48850968,1772833374530
JSON,100,200,MetadataService,30,70,102,9693758,149316952,1772833374530
JSON,100,200,AudioService,0,71,72,9693758,9693758,1772833374530
JSON,100,200,VideoService,34,71,107,9693758,49478000,1772833374530
JSON,100,200,MetadataService,30,70,102,9693758,148933272,1772833374530
JSON,100,200,AudioService,0,74,75,9693758,9693758,1772833374530
JSON,100,200,VideoService,31,70,104,9693758,48871776,1772833374530
JSON,100,200,MetadataService,31,70,103,9693758,148574168,1772833374530
JSON,100,200,AudioService,0,72,73,9693758,9693758,1772833374530
JSON,100,200,VideoService,32,71,104,9693758,48821760,1772833374530
JSON,100,200,MetadataService,30,71,103,9693758,148549728,1772833374530
JSON,100,200,AudioService,0,71,72,9693758,9693758,1772833374530
JSON,100,200,VideoService,32,70,103,9693758,48716080,1772833374530
JSON,100,200,MetadataService,30,70,103,9693758,148244520,1772833374530
JSON,100,200,AudioService,0,70,71,9693758,9693758,1772833374530
JSON,100,200,VideoService,31,70,103,9693758,48874208,1772833374530
JSON,100,200,MetadataService,30,70,103,9693758,148574768,1772833374530
JSON,100,500,AudioService,0,178,181,24245859,144732704,1772833382556
JSON,100,500,VideoService,73,180,257,24245859,229692968,1772833382556
JSON,100,500,MetadataService,71,182,256,24245859,215159944,1772833382556
JSON,100,500,AudioService,0,186,188,24245859,27668664,1772833382556
JSON,100,500,VideoService,71,182,257,24245859,222047352,1772833382556
JSON,100,500,MetadataService,77,173,257,24245859,382868496,1772833382556
JSON,100,500,AudioService,0,185,189,24245859,24245859,1772833382556
JSON,100,500,VideoService,77,176,257,24245859,185247968,1772833382556
JSON,100,500,MetadataService,73,175,254,24245859,382850280,1772833382556
JSON,100,500,AudioService,0,179,181,24245859,24207392,1772833382556
JSON,100,500,VideoService,77,173,254,24245859,187696448,1772833382557
JSON,100,500,MetadataService,78,174,258,24245859,382882880,1772833382557
JSON,100,500,AudioService,0,177,179,24245859,24245859,1772833382557
JSON,100,500,VideoService,76,182,262,24245859,126703744,1772833382557
JSON,100,500,MetadataService,76,180,260,24245859,101116392,1772833382557
JSON,100,500,AudioService,0,177,180,24245859,24245859,1772833382557
JSON,100,500,VideoService,77,174,255,24245859,199474416,1772833382557
JSON,100,500,MetadataService,74,176,256,24245859,383162760,1772833382557
JSON,100,500,AudioService,0,176,178,24245859,15952128,1772833382557
JSON,100,500,VideoService,74,179,257,24245859,126266448,1772833382557
JSON,100,500,MetadataService,71,181,255,24245859,213524472,1772833382557
JSON,100,500,AudioService,0,173,181,24245859,380276032,1772833382557
JSON,100,500,VideoService,76,174,254,24245859,198211232,1772833382557
JSON,100,500,MetadataService,71,180,255,24245859,243441800,1772833382557
JSON,100,500,AudioService,0,177,180,24245859,24245859,1772833382557
JSON,100,500,VideoService,75,181,259,24245859,118370864,1772833382557
JSON,100,500,MetadataService,71,181,256,24245859,213493712,1772833382557
JSON,100,500,AudioService,0,170,179,24245859,380275456,1772833382557
JSON,100,500,VideoService,72,182,258,24245859,214292048,1772833382557
JSON,100,500,MetadataService,73,180,256,24245859,243816680,1772833382557
JSON,100,1000,AudioService,0,373,382,48499153,37701640,1772833398528
JSON,100,1000,VideoService,153,362,521,48499153,203734912,1772833398528
JSON,100,1000,MetadataService,153,359,519,48499153,199518776,1772833398528
JSON,100,1000,AudioService,0,362,404,48499153,763363328,1772833398528
JSON,100,1000,VideoService,154,365,526,48499153,198968544,1772833398528
JSON,100,1000,MetadataService,150,360,516,48499153,201343800,1772833398528
JSON,100,1000,AudioService,0,345,374,48499153,763363328,1772833398528
JSON,100,1000,VideoService,152,361,520,48499153,201376336,1772833398528
JSON,100,1000,MetadataService,151,359,517,48499153,201844776,1772833398528
JSON,100,1000,AudioService,0,344,361,48499153,763363328,1772833398528
JSON,100,1000,VideoService,152,363,523,48499153,206975984,1772833398528
JSON,100,1000,MetadataService,153,359,518,48499153,202681800,1772833398528
JSON,100,1000,AudioService,0,344,360,48499153,763363328,1772833398528
JSON,100,1000,VideoService,150,358,516,48499153,204167792,1772833398528
JSON,100,1000,MetadataService,152,360,519,48499153,200121392,1772833398528
JSON,100,1000,AudioService,0,343,360,48499153,763363328,1772833398528
JSON,100,1000,VideoService,150,362,519,48499153,199653488,1772833398528
JSON,100,1000,MetadataService,151,361,518,48499153,201718328,1772833398528
JSON,100,1000,AudioService,0,344,360,48499153,763363328,1772833398528
JSON,100,1000,VideoService,154,362,523,48499153,202194104,1772833398528
JSON,100,1000,MetadataService,152,362,520,48499153,201570048,1772833398528
JSON,100,1000,AudioService,0,341,357,48499153,763363328,1772833398528
JSON,100,1000,VideoService,152,361,520,48499153,199540704,1772833398528
JSON,100,1000,MetadataService,152,361,520,48499153,201534736,1772833398528
JSON,100,1000,AudioService,0,342,358,48499153,763363328,1772833398528
JSON,100,1000,VideoService,151,361,519,48499153,198444192,1772833398528
JSON,100,1000,MetadataService,152,361,519,48499153,202799584,1772833398528
JSON,100,1000,AudioService,0,342,358,48499153,763363328,1772833398528
JSON,100,1000,VideoService,152,359,519,48499153,202825704,1772833398528
