PayloadID,Format,Service,AvgDeTimeMs,AvgSeTimeMs,AvgTotalTimeMs,Size_Bytes,AvgRAM_Bytes,Timestamp
experiment_payload_1,BSON,VideoService,2,1,4,362246,4594742,1772755109289
experiment_payload_1,BSON,MetadataService,2,1,4,362246,4561665,1772755109289
experiment_payload_1,BSON,AudioService,7,1,9,362246,5539464,1772755109289
experiment_payload_1,JSON,VideoService,5,1,7,484522,10967278,1772755172808
experiment_payload_1,JSON,MetadataService,6,1,9,484522,10939014,1772755172808
experiment_payload_1,JSON,AudioService,12,2,15,484522,11998100,1772755172808
experiment_payload_2,BSON,VideoService,14,12,29,3622047,45954051,1772755211021
experiment_payload_2,BSON,MetadataService,10,11,25,3622047,45901603,1772755211021
experiment_payload_2,BSON,AudioService,18,13,35,3622047,44941617,1772755211021
experiment_payload_2,JSON,VideoService,37,16,56,4843094,26762643,1772755223355
experiment_payload_2,JSON,MetadataService,36,16,55,4843094,27026345,1772755223355
experiment_payload_2,JSON,AudioService,53,17,73,4843094,41022520,1772755223355
experiment_payload_3,BSON,VideoService,98,170,280,36221848,235195686,1772755277931
experiment_payload_3,BSON,MetadataService,94,167,273,36221848,257451740,1772755277931
experiment_payload_3,BSON,AudioService,111,158,281,36221848,238152504,1772755277931
experiment_payload_3,JSON,VideoService,375,158,545,48427954,250797804,1772755300167
experiment_payload_3,JSON,MetadataService,371,157,540,48427954,259103129,1772755300167
experiment_payload_3,JSON,AudioService,383,162,559,48427954,269449092,1772755300167
experiment_payload_4,BSON,VideoService,411,548,1002,144893848,795620288,1772755511676
experiment_payload_4,BSON,MetadataService,406,548,994,144893848,789328883,1772755511677
experiment_payload_4,BSON,AudioService,422,559,1027,144893848,771134656,1772755511677
experiment_payload_4,JSON,VideoService,1500,657,2199,193716565,980013532,1772755557604
experiment_payload_4,JSON,MetadataService,1490,652,2184,193716565,938865984,1772755557605
experiment_payload_4,JSON,AudioService,1508,665,2215,193716565,963477968,1772755557605
